entry_id,trip_id,people_id,person_name,trip_date,trip_start_time,trip_end_time,place_id,place_name,lat,lon,event_time,source_presence
1,trip_0,"Simone Kat","Simone Kat",0040-04-24,09:00:00,21:00:00,581853838,"Jordan Administrative Center",-164.561910022597,39.2713789907648,"2040-04-24 16:17:00",B
2,trip_0,"Simone Kat","Simone Kat",0040-04-24,09:00:00,21:00:00,582184557,"Pacific Nature Bureau",-164.563348299369,39.27182934781,"2040-04-24 16:17:00",B
3,trip_0,"Simone Kat","Simone Kat",0040-04-24,09:00:00,21:00:00,"Haacklee Ferry Terminal","Haacklee Ferry Terminal",-165.690524993701,38.9861932253342,"2040-04-24 21:00:00",B
4,trip_0,"Simone Kat","Simone Kat",0040-04-24,09:00:00,21:00:00,"South Paackland Ferry Terminal","South Paackland Ferry Terminal",-164.561770659014,39.0859168930285,"2040-04-24 19:00:00",B
5,trip_0,"Simone Kat","Simone Kat",0040-04-24,09:00:00,21:00:00,,,,,"2040-04-24 09:00:00",A
6,trip_1,Seal,Seal,2040-06-16,06:29:00,12:36:00,37826661,"Paackland Post Office",-164.371233052081,39.4220277368057,"2040-06-16 10:38:00",B
7,trip_1,Seal,Seal,2040-06-16,06:29:00,12:36:00,37830690,,-164.384824809446,39.427187722486,"2040-06-16 06:29:00",BOTH
8,trip_1,Seal,Seal,2040-06-16,06:29:00,12:36:00,37892464,"Paackland Admin Center",-164.399590473335,39.4325916424221,"2040-06-16 12:36:00",B
9,trip_10,"Teddy Goldstein","Teddy Goldstein",2040-05-31,06:07:00,07:57:00,48591000,"Port Authority Office",-165.576410268802,39.5385630504902,"2040-05-31 07:57:00",B
10,trip_10,"Teddy Goldstein","Teddy Goldstein",2040-05-31,06:07:00,07:57:00,9839219428,,-165.589386068878,39.5578983954913,"2040-05-31 06:41:00",B
11,trip_10,"Teddy Goldstein","Teddy Goldstein",2040-05-31,06:07:00,07:57:00,"Suna Spit","Suna Spit",-165.756771494532,39.594240090235,"2040-05-31 07:57:00",B
12,trip_100,"Carol Limpet","Carol Limpet",2040-06-01,08:56:00,09:21:00,48501909,,-165.571535466039,39.5284476444288,"2040-06-01 08:56:00",BOTH
13,trip_100,"Carol Limpet","Carol Limpet",2040-06-01,08:56:00,09:21:00,48511190,,-165.599649866128,39.5492506138069,"2040-06-01 09:21:00",BOTH
14,trip_101,"Simone Kat","Simone Kat",2040-07-06,09:00:00,21:00:00,37828755,"Dock & Roll Hall of Fame",-164.358079495406,39.4259725652682,"2040-07-06 15:05:00",BOTH
15,trip_101,"Simone Kat","Simone Kat",2040-07-06,09:00:00,21:00:00,"Haacklee Ferry Terminal","Haacklee Ferry Terminal",-165.690524993701,38.9861932253342,"2040-07-06 21:00:00",B
16,trip_101,"Simone Kat","Simone Kat",2040-07-06,09:00:00,21:00:00,"South Paackland Ferry Terminal","South Paackland Ferry Terminal",-164.561770659014,39.0859168930285,"2040-07-06 19:00:00",B
17,trip_102,"Carol Limpet","Carol Limpet",2040-07-30,07:34:00,08:00:00,30179053,,-165.883777568729,39.6536842397418,"2040-07-30 07:34:00",BOTH
18,trip_102,"Carol Limpet","Carol Limpet",2040-07-30,07:34:00,08:00:00,48580702,,-165.599641801388,39.5508852452669,"2040-07-30 08:00:00",BOTH
19,trip_102,"Carol Limpet","Carol Limpet",2040-07-30,07:34:00,08:00:00,"Suna Spit","Suna Spit",-165.756771494532,39.594240090235,"2040-07-30 08:00:00",B
20,trip_103,"Tante Titan","Tante Titan",0040-07-17,08:42:00,11:13:00,48531040,"South Paackland Post Office",-164.556613870327,39.0877186441114,"2040-07-17 11:13:00",B
21,trip_103,"Tante Titan","Tante Titan",0040-07-17,08:42:00,11:13:00,581853838,"Jordan Administrative Center",-164.561910022597,39.2713789907648,"2040-07-17 10:48:00",B
22,trip_103,"Tante Titan","Tante Titan",0040-07-17,08:42:00,11:13:00,582184557,"Pacific Nature Bureau",-164.563348299369,39.27182934781,"2040-07-17 10:48:00",B
23,trip_104,"Teddy Goldstein","Teddy Goldstein",0040-06-05,09:59:00,06:30:00,36988183,"Port Grove Customs House",-165.95536906157,39.0957812550808,"2040-06-05 09:59:00",B
24,trip_104,"Teddy Goldstein","Teddy Goldstein",0040-06-05,09:59:00,06:30:00,48591000,"Port Authority Office",-165.576410268802,39.5385630504902,"2040-06-06 06:30:00",B
25,trip_104,"Teddy Goldstein","Teddy Goldstein",0040-06-05,09:59:00,06:30:00,581853838,"Jordan Administrative Center",-164.561910022597,39.2713789907648,"2040-06-05 21:50:00",B
26,trip_104,"Teddy Goldstein","Teddy Goldstein",0040-06-05,09:59:00,06:30:00,582184557,"Pacific Nature Bureau",-164.563348299369,39.27182934781,"2040-06-05 19:00:00",B
27,trip_104,"Teddy Goldstein","Teddy Goldstein",0040-06-05,09:59:00,06:30:00,"Haacklee Ferry Terminal","Haacklee Ferry Terminal",-165.690524993701,38.9861932253342,"2040-06-05 13:00:00",B
28,trip_104,"Teddy Goldstein","Teddy Goldstein",0040-06-05,09:59:00,06:30:00,"Lomark Ferry Terminal","Lomark Ferry Terminal",-165.562860998482,39.5232671723143,"2040-06-06 06:00:00",B
29,trip_104,"Teddy Goldstein","Teddy Goldstein",0040-06-05,09:59:00,06:30:00,"Paackland Ferry Terminal","Paackland Ferry Terminal",-164.408925366899,39.4407792165748,"2040-06-05 23:00:00",B
30,trip_104,"Teddy Goldstein","Teddy Goldstein",0040-06-05,09:59:00,06:30:00,"Port Grove Ferry Terminal","Port Grove Ferry Terminal",-165.954454171361,39.0922199633359,"2040-06-05 10:00:00",B
31,trip_104,"Teddy Goldstein","Teddy Goldstein",0040-06-05,09:59:00,06:30:00,"South Paackland Ferry Terminal","South Paackland Ferry Terminal",-164.561770659014,39.0859168930285,"2040-06-05 19:00:00",B
32,trip_104,"Teddy Goldstein","Teddy Goldstein",0040-06-05,09:59:00,06:30:00,"Suna Spit","Suna Spit",-165.756771494532,39.594240090235,"2040-06-06 06:30:00",B
33,trip_105,"Simone Kat","Simone Kat",0040-06-26,09:00:00,21:00:00,581853838,"Jordan Administrative Center",-164.561910022597,39.2713789907648,"2040-06-26 17:21:00",B
34,trip_105,"Simone Kat","Simone Kat",0040-06-26,09:00:00,21:00:00,582184557,"Pacific Nature Bureau",-164.563348299369,39.27182934781,"2040-06-26 17:21:00",B
35,trip_105,"Simone Kat","Simone Kat",0040-06-26,09:00:00,21:00:00,"Haacklee Ferry Terminal","Haacklee Ferry Terminal",-165.690524993701,38.9861932253342,"2040-06-26 21:00:00",B
36,trip_105,"Simone Kat","Simone Kat",0040-06-26,09:00:00,21:00:00,"South Paackland Ferry Terminal","South Paackland Ferry Terminal",-164.561770659014,39.0859168930285,"2040-06-26 19:00:00",B
37,trip_105,"Simone Kat","Simone Kat",0040-06-26,09:00:00,21:00:00,,,,,"2040-06-26 09:00:00",A
38,trip_106,"Tante Titan","Tante Titan",0040-04-19,07:00:00,19:00:00,30188848,"Anchor Way Grill",-165.890242914931,39.6669391316316,"2040-04-19 11:26:00",BOTH
